id,state,coordinates,fuel type
13298,TX,"[-101.885391, 35.267353]",LPG
14387,TX,"[-96.73629, 32.684726]",LPG
14389,TX,"[-95.54979990870663, 33.72109484294474]",LPG
14392,TX,"[-94.226198, 33.095005]",LPG
14399,TX,"[-95.345249, 32.182469]",LPG
14402,TX,"[-95.719888, 31.702799]",LPG
14407,TX,"[-97.677806, 32.961542]",LPG
14409,TX,"[-97.3177, 32.570292]",LPG
14410,TX,"[-97.81640408332827, 33.57919392270078]",LPG
14411,TX,"[-97.16037, 33.642159]",LPG
14416,TX,"[-96.98020609867251, 30.66941419231348]",LPG
14419,TX,"[-97.13034854232788, 32.0163708117604]",LPG
14421,TX,"[-97.119669, 31.535157]",LPG
14424,TX,"[-99.4066120674591, 31.85732347958391]",LPG
14426,TX,"[-99.2195941, 30.7398924]",LPG
14427,TX,"[-100.570259, 31.568255]",LPG
14432,TX,"[-95.734392, 29.290569]",LPG
14439,TX,"[-95.95660679496768, 30.92874260460273]",LPG
14458,TX,"[-97.544281, 27.995178]",LPG
14462,TX,"[-98.890452, 30.25599]",LPG
14466,TX,"[-99.758699, 29.226503]",LPG
14472,TX,"[-101.579864, 35.675527]",LPG
14482,TX,"[-102.721077, 34.232828]",LPG
14486,TX,"[-101.650477, 33.449133]",LPG
14489,TX,"[-99.89629, 32.774736]",LPG
14512,TX,"[-106.308406, 31.722301]",LPG
15059,TX,"[-97.053607, 32.77585]",LPG
15079,TX,"[-98.464639, 29.3522]",LPG
15084,TX,"[-100.904233, 29.410891]",LPG
15086,TX,"[-100.972708, 35.526296]",LPG
15402,TX,"[-95.52508, 29.85035]",LPG
15979,TX,"[-106.402658, 31.909546]",LPG
17587,TX,"[-98.62551, 33.594606]",LPG
20019,TX,"[-96.990371, 32.746089]",LPG
20020,TX,"[-97.01037903121335, 33.05020425693676]",LPG
20023,TX,"[-96.653415, 33.013038]",LPG
20029,TX,"[-95.865982, 32.581777]",LPG
20031,TX,"[-96.634258, 32.351483]",LPG
20032,TX,"[-96.4657355, 32.121118]",LPG
20038,TX,"[-96.88043, 32.856957]",LPG
20039,TX,"[-96.724451, 32.793288]",LPG
20041,TX,"[-96.875512, 32.706231]",LPG
20045,TX,"[-95.01204169999998, 33.16491041339677]",LPG
20050,TX,"[-95.2183, 33.16374]",LPG
20058,TX,"[-94.719002, 32.998939]",LPG
20070,TX,"[-95.458688, 31.30506]",LPG
20073,TX,"[-94.199453, 31.818815]",LPG
20082,TX,"[-97.146715, 32.736576]",LPG
20088,TX,"[-97.15356, 32.583037]",LPG
20094,TX,"[-97.245579, 32.740429]",LPG
20095,TX,"[-97.321323, 32.708106]",LPG
20097,TX,"[-97.399138, 32.79679]",LPG
20104,TX,"[-97.134351, 33.196607]",LPG
20105,TX,"[-97.835833, 33.551185]",LPG
20107,TX,"[-97.295963, 33.087743]",LPG
20108,TX,"[-97.731178, 33.79977]",LPG
20109,TX,"[-98.497836, 33.920282]",LPG
20110,TX,"[-98.532658, 33.882771]",LPG
20112,TX,"[-98.4543539940567, 33.90152859066813]",LPG
20121,TX,"[-98.61198300000001, 33.093112]",LPG
20122,TX,"[-98.125407, 32.528238]",LPG
20124,TX,"[-97.475508, 31.028231]",LPG
20134,TX,"[-96.484639, 31.701195]",LPG
20136,TX,"[-97.169273, 31.52894]",LPG
20139,TX,"[-99.335654, 31.117996]",LPG
20140,TX,"[-98.567344, 31.46793]",LPG
20154,TX,"[-95.262951, 29.841582]",LPG
20159,TX,"[-95.504232, 29.68976]",LPG
20161,TX,"[-95.644866, 29.68574]",LPG
20164,TX,"[-95.467504, 29.804408]",LPG
20166,TX,"[-95.63561, 29.898444]",LPG
20174,TX,"[-95.62618232618104, 30.07143484501876]",LPG
20175,TX,"[-95.437741, 30.073148]",LPG
20177,TX,"[-96.01559728465806, 28.98448900304327]",LPG
20178,TX,"[-96.27067007011414, 29.84541548837777]",LPG
20179,TX,"[-95.569144, 29.028093]",LPG
20184,TX,"[-95.5632799, 29.5918718]",LPG
20185,TX,"[-95.819677, 29.532978]",LPG
20189,TX,"[-95.159918, 29.685153]",LPG
20191,TX,"[-94.96447, 29.751333]",LPG
20192,TX,"[-95.137735, 29.777068]",LPG
20199,TX,"[-95.331049, 29.554259]",LPG
20202,TX,"[-94.382951, 29.786063]",LPG
20203,TX,"[-94.133469, 30.065031]",LPG
20208,TX,"[-96.1247157, 31.1470823]",LPG
20214,TX,"[-96.953084, 29.430898]",LPG
20217,TX,"[-98.752098, 29.792388]",LPG
20222,TX,"[-97.85733064285279, 28.81349316145646]",LPG
20223,TX,"[-98.123774, 29.68708]",LPG
20224,TX,"[-98.031453, 29.635351]",LPG
20227,TX,"[-98.402288, 29.553334]",LPG
20228,TX,"[-98.409022, 29.508561]",LPG
20229,TX,"[-98.522786, 29.35631]",LPG
20230,TX,"[-98.403859, 29.398267]",LPG
20231,TX,"[-98.39789863558195, 29.31124836435929]",LPG
20235,TX,"[-98.627153, 29.5083]",LPG
20240,TX,"[-97.390793, 27.719774]",LPG
20241,TX,"[-97.420669, 27.760943]",LPG
20242,TX,"[-97.42975, 27.729706]",LPG
20245,TX,"[-98.097388, 26.292093]",LPG
20248,TX,"[-97.957884, 26.151883]",LPG
20250,TX,"[-98.250296, 30.760529]",LPG
20260,TX,"[-97.841503, 30.545424]",LPG
20264,TX,"[-97.841653, 29.84603]",LPG
20271,TX,"[-97.682805, 30.365616]",LPG
20272,TX,"[-97.728, 30.369936]",LPG
20282,TX,"[-96.778181, 29.702772]",LPG
20287,TX,"[-102.2061118902435, 35.20869348301368]",LPG
20289,TX,"[-102.527128, 36.068689]",LPG
20292,TX,"[-102.4055721, 34.8261172]",LPG
20293,TX,"[-100.024736, 36.120101]",LPG
20307,TX,"[-103.043038, 34.391874]",LPG
20321,TX,"[-99.962804, 31.958895]",LPG
20322,TX,"[-99.787459, 32.441403]",LPG
20325,TX,"[-101.8042785092621, 32.13213770490032]",LPG
20326,TX,"[-106.241724, 31.598127]",LPG
20327,TX,"[-102.401102, 30.142273]",LPG
20864,TX,"[-95.231428, 29.664705]",LPG
22015,TX,"[-98.1031562, 30.0010019]",LPG
22016,TX,"[-97.778233, 33.220598]",LPG
22024,TX,"[-93.966133, 29.981873]",LPG
22034,TX,"[-102.818785219574, 33.01688116589515]",LPG
22039,TX,"[-102.235437, 31.911507]",LPG
22042,TX,"[-99.95688467591856, 31.72922091788651]",LPG
22044,TX,"[-102.2969582458488, 34.54967721749522]",LPG
22046,TX,"[-101.77679, 34.542134]",LPG
22052,TX,"[-99.501083, 32.413531]",LPG
22053,TX,"[-100.7858190569386, 36.39737955349725]",LPG
22064,TX,"[-98.856829, 30.262802]",LPG
22068,TX,"[-98.093736, 32.853728]",LPG
22072,TX,"[-102.75895, 33.729553]",LPG
22075,TX,"[-97.514844, 30.22844]",LPG
